Nível,Código,Codes,parent_code,Designação
4,0202,1840202,1840202,"Almodôvar"
4,0203,1840203,1840203,"Alvito"
4,0204,1840204,1840204,"Barrancos"
4,0205,1840205,1840205,"Beja"
4,0206,1840206,1840206,"Castro Verde"
4,0207,1840207,1840207,"Cuba"
4,0208,1840208,1840208,"Ferreira do Alentejo"
4,0209,1840209,1840209,"Mértola"
4,0210,1840210,1840210,"Moura"
4,0212,1840212,1840212,"Ourique"
4,0213,1840213,1840213,"Serpa"
4,0214,1840214,1840214,"Vidigueira"
4,1403,1851403,1851403,"Almeirim"
4,1404,1851404,1851404,"Alpiarça"
4,1103,1851103,1851103,"Azambuja"
4,1405,1851405,1851405,"Benavente"
4,1406,1851406,1851406,"Cartaxo"
4,1407,1851407,1851407,"Chamusca"
4,1409,1851409,1851409,"Coruche"
4,1412,1851412,1851412,"Golegã"
4,1414,1851414,1851414,"Rio Maior"
4,1415,1851415,1851415,"Salvaterra de Magos"
4,1416,1851416,1851416,"Santarém"
4,1201,1861201,1861201,"Alter do Chão"
4,1202,1861202,1861202,"Arronches"
4,1203,1861203,1861203,"Avis"
4,1204,1861204,1861204,"Campo Maior"
4,1205,1861205,1861205,"Castelo de Vide"
4,1206,1861206,1861206,"Crato"
4,1207,1861207,1861207,"Elvas"
4,1208,1861208,1861208,"Fronteira"
4,1209,1861209,1861209,"Gavião"
4,1210,1861210,1861210,"Marvão"
4,1211,1861211,1861211,"Monforte"
4,1212,1861212,1861212,"Nisa"
4,1213,1861213,1861213,"Ponte de Sor"
4,1214,1861214,1861214,"Portalegre"
4,1215,1861215,1861215,"Sousel"
4,0701,1870701,1870701,"Alandroal"
4,0702,1870702,1870702,"Arraiolos"
4,0703,1870703,1870703,"Borba"
4,0704,1870704,1870704,"Estremoz"
4,0705,1870705,1870705,"Évora"
4,0706,1870706,1870706,"Montemor-o-Novo"
4,0707,1870707,1870707,"Mora"
4,0708,1870708,1870708,"Mourão"
4,0709,1870709,1870709,"Portel"
4,0710,1870710,1870710,"Redondo"
4,0711,1870711,1870711,"Reguengos de Monsaraz"
4,0712,1870712,1870712,"Vendas Novas"
4,0713,1870713,1870713,"Viana do Alentejo"
4,0714,1870714,1870714,"Vila Viçosa"
4,0801,1500801,1500801,"Albufeira"
4,0802,1500802,1500802,"Alcoutim"
4,0803,1500803,1500803,"Aljezur"
4,0804,1500804,1500804,"Castro Marim"
4,0805,1500805,1500805,"Faro"
4,0806,1500806,1500806,"Lagoa"
4,0807,1500807,1500807,"Lagos"
4,0808,1500808,1500808,"Loulé"
4,0809,1500809,1500809,"Monchique"
4,0810,1500810,1500810,"Olhão"
4,0811,1500811,1500811,"Portimão"
4,0812,1500812,1500812,"São Brás de Alportel"
4,0813,1500813,1500813,"Silves"
4,0814,1500814,1500814,"Tavira"
4,0815,1500815,1500815,"Vila do Bispo"
4,0816,1500816,1500816,"Vila Real de Santo António"
4,4301,2004301,2004301,"Angra do Heroísmo"
4,4501,2004501,2004501,"Calheta"
4,4901,2004901,2004901,"Corvo"
4,4701,2004701,2004701,"Horta"
4,4201,2004201,2004201,"Lagoa"
4,4801,2004801,2004801,"Lajes das Flores"
4,4601,2004601,2004601,"Lajes do Pico"
4,4602,2004602,2004602,"Madalena"
4,4202,2004202,2004202,"Nordeste"
4,4203,2004203,2004203,"Ponta Delgada"
4,4204,2004204,2004204,"Povoação"
4,4205,2004205,2004205,"Ribeira Grande"
4,4401,2004401,2004401,"Santa Cruz da Graciosa"
4,4802,2004802,2004802,"Santa Cruz das Flores"
4,4603,2004603,2004603,"São Roque do Pico"
4,4502,2004502,2004502,"Velas"
4,4302,2004302,2004302,"Vila da Praia da Vitória"
4,4101,2004101,2004101,"Vila do Porto"
4,4206,2004206,2004206,"Vila Franca do Campo"
4,3101,3003101,3003101,"Calheta"
4,3102,3003102,3003102,"Câmara de Lobos"
4,3103,3003103,3003103,"Funchal"
4,3104,3003104,3003104,"Machico"
4,3105,3003105,3003105,"Ponta do Sol"
4,3106,3003106,3003106,"Porto Moniz"
4,3201,3003201,3003201,"Porto Santo"
4,3107,3003107,3003107,"Ribeira Brava"
4,3108,3003108,3003108,"Santa Cruz"
4,3109,3003109,3003109,"Santana"
4,3110,3003110,3003110,"São Vicente"
