primary_key,Codes,livestock,year,quantity
398,111160114,Rabbits,1999,38
399,111160114,Rabbits,2009,24
400,111160115,Cattle,1989,454
401,111160115,Cattle,1999,438
402,111160115,Cattle,2009,494
403,111160115,Pigs,1989,71
404,111160115,Pigs,1999,26
405,111160115,Pigs,2009,11
406,111160115,Sheep,1989,666
407,111160115,Sheep,1999,1033
408,111160115,Sheep,2009,761
409,111160115,Goats,1989,633
410,111160115,Goats,1999,945
411,111160115,Goats,2009,1073
412,111160115,Equidae,1989,15
413,111160115,Equidae,1999,40
414,111160115,Equidae,2009,128
415,111160115,Poultry,1989,2307
416,111160115,Poultry,1999,2285
417,111160115,Poultry,2009,1480
418,111160115,Rabbits,1989,90
419,111160115,Rabbits,1999,240
420,111160115,Rabbits,2009,285
421,111160116,Cattle,1989,171
422,111160116,Cattle,1999,103
423,111160116,Cattle,2009,75
424,111160116,Pigs,1989,7
425,111160116,Pigs,1999,26
426,111160116,Pigs,2009,2
427,111160116,Sheep,1989,401
428,111160116,Sheep,1999,279
429,111160116,Sheep,2009,273
430,111160116,Goats,1989,137
431,111160116,Goats,1999,60
432,111160116,Goats,2009,167
433,111160116,Equidae,1989,- -
434,111160116,Equidae,1999,- -
435,111160116,Equidae,2009,74
436,111160116,Poultry,1989,1378
437,111160116,Poultry,1999,877
438,111160116,Poultry,2009,728
439,111160116,Rabbits,1989,61
440,111160116,Rabbits,1999,105
441,111160116,Rabbits,2009,308
442,111160117,Cattle,1989,90
443,111160117,Cattle,1999,80
444,111160117,Cattle,2009,26
445,111160117,Pigs,1989,34
446,111160117,Pigs,1999,10
447,111160117,Pigs,2009,2
448,111160117,Sheep,1989,22
449,111160117,Sheep,1999,29
450,111160117,Sheep,2009,120
451,111160117,Goats,1989,- -
452,111160117,Goats,1999,57
453,111160117,Goats,2009,26
454,111160117,Equidae,1989,5
455,111160117,Equidae,1999,- -
456,111160117,Equidae,2009,2
457,111160117,Poultry,1989,1525
458,111160117,Poultry,1999,1174
459,111160117,Poultry,2009,642
460,111160117,Rabbits,1989,73
461,111160117,Rabbits,1999,289
462,111160117,Rabbits,2009,368
463,111160118,Cattle,1989,72
464,111160118,Cattle,1999,37
465,111160118,Cattle,2009,13
466,111160118,Pigs,1989,48
467,111160118,Pigs,1999,5
468,111160118,Pigs,2009,1
469,111160118,Sheep,1989,91
470,111160118,Sheep,1999,50
471,111160118,Sheep,2009,29
472,111160118,Goats,1989,19
473,111160118,Goats,1999,69
474,111160118,Goats,2009,30
475,111160118,Equidae,1989,- -
476,111160118,Equidae,1999,- -
477,111160118,Equidae,2009,- -
478,111160118,Poultry,1989,888
479,111160118,Poultry,1999,330
480,111160118,Poultry,2009,149
481,111160118,Rabbits,1989,37
482,111160118,Rabbits,1999,29
483,111160118,Rabbits,2009,29
484,111160119,Cattle,1989,131
485,111160119,Cattle,1999,112
486,111160119,Cattle,2009,36
487,111160119,Pigs,1989,40
488,111160119,Pigs,1999,58
489,111160119,Pigs,2009,11
490,111160119,Sheep,1989,28
491,111160119,Sheep,1999,26
492,111160119,Sheep,2009,58
493,111160119,Goats,1989,17
494,111160119,Goats,1999,13
495,111160119,Goats,2009,- -
496,111160119,Equidae,1989,- -
497,111160119,Equidae,1999,- -
498,111160119,Equidae,2009,1
499,111160119,Poultry,1989,1486
500,111160119,Poultry,1999,1137
501,111160119,Poultry,2009,538
502,111160119,Rabbits,1989,90
503,111160119,Rabbits,1999,144
504,111160119,Rabbits,2009,99
505,111160120,Cattle,1989,79
506,111160120,Cattle,1999,65
507,111160120,Cattle,2009,14
508,111160120,Pigs,1989,26
509,111160120,Pigs,1999,12
510,111160120,Pigs,2009,1
511,111160120,Sheep,1989,21
512,111160120,Sheep,1999,43
513,111160120,Sheep,2009,64
514,111160120,Goats,1989,3
515,111160120,Goats,1999,- -
516,111160120,Goats,2009,1
517,111160120,Equidae,1989,- -
518,111160120,Equidae,1999,- -
519,111160120,Equidae,2009,- -
520,111160120,Poultry,1989,362
521,111160120,Poultry,1999,380
522,111160120,Poultry,2009,173
523,111160120,Rabbits,1989,10
524,111160120,Rabbits,1999,99
525,111160120,Rabbits,2009,61
526,111160121,Cattle,1989,291
527,111160121,Cattle,1999,164
528,111160121,Cattle,2009,115
529,111160121,Pigs,1989,86
530,111160121,Pigs,1999,23
531,111160121,Pigs,2009,12
532,111160121,Sheep,1989,215
533,111160121,Sheep,1999,436
534,111160121,Sheep,2009,546
535,111160121,Goats,1989,21
536,111160121,Goats,1999,- -
537,111160121,Goats,2009,89
538,111160121,Equidae,1989,- -
539,111160121,Equidae,1999,9
540,111160121,Equidae,2009,44
541,111160121,Poultry,1989,1530
542,111160121,Poultry,1999,787
543,111160121,Poultry,2009,925
544,111160121,Rabbits,1989,126
545,111160121,Rabbits,1999,241
546,111160121,Rabbits,2009,348
547,111160122,Cattle,1989,146
548,111160122,Cattle,1999,79
549,111160122,Cattle,2009,42
550,111160122,Pigs,1989,34
551,111160122,Pigs,1999,10
552,111160122,Pigs,2009,8
553,111160122,Sheep,1989,42
554,111160122,Sheep,1999,82
555,111160122,Sheep,2009,119
556,111160122,Goats,1989,46
557,111160122,Goats,1999,12
558,111160122,Goats,2009,29
559,111160122,Equidae,1989,- -
560,111160122,Equidae,1999,13
561,111160122,Equidae,2009,10
562,111160122,Poultry,1989,1176
563,111160122,Poultry,1999,856
564,111160122,Poultry,2009,677
565,111160122,Rabbits,1989,43
566,111160122,Rabbits,1999,139
567,111160122,Rabbits,2009,201
568,111160123,Cattle,1989,107
569,111160123,Cattle,1999,68
570,111160123,Cattle,2009,44
571,111160123,Pigs,1989,27
572,111160123,Pigs,1999,4
573,111160123,Pigs,2009,17
574,111160123,Sheep,1989,40
575,111160123,Sheep,1999,67
576,111160123,Sheep,2009,85
577,111160123,Goats,1989,3
578,111160123,Goats,1999,9
579,111160123,Goats,2009,24
580,111160123,Equidae,1989,- -
581,111160123,Equidae,1999,- -
582,111160123,Equidae,2009,3
583,111160123,Poultry,1989,796
584,111160123,Poultry,1999,685
585,111160123,Poultry,2009,774
586,111160123,Rabbits,1989,32
587,111160123,Rabbits,1999,2295
588,111160123,Rabbits,2009,927
589,111160124,Cattle,1989,168
590,111160124,Cattle,1999,127
591,111160124,Cattle,2009,77
592,111160124,Pigs,1989,8
593,111160124,Pigs,1999,12
594,111160124,Pigs,2009,7
595,111160124,Sheep,1989,25
596,111160124,Sheep,1999,81
597,111160124,Sheep,2009,93
598,111160124,Goats,1989,- -
599,111160124,Goats,1999,57
600,111160124,Goats,2009,20
601,111160124,Equidae,1989,- -
602,111160124,Equidae,1999,- -
603,111160124,Equidae,2009,17
604,111160124,Poultry,1989,1118
605,111160124,Poultry,1999,868
606,111160124,Poultry,2009,489
607,111160124,Rabbits,1989,34
608,111160124,Rabbits,1999,107
609,111160124,Rabbits,2009,157
610,111160125,Cattle,1989,174
611,111160125,Cattle,1999,153
612,111160125,Cattle,2009,80
613,111160125,Pigs,1989,88
614,111160125,Pigs,1999,16
615,111160125,Pigs,2009,4
616,111160125,Sheep,1989,195
617,111160125,Sheep,1999,205
618,111160125,Sheep,2009,232
619,111160125,Goats,1989,122
620,111160125,Goats,1999,- -
621,111160125,Goats,2009,25
622,111160125,Equidae,1989,- -
623,111160125,Equidae,1999,- -
624,111160125,Equidae,2009,1
625,111160125,Poultry,1989,1046
626,111160125,Poultry,1999,672
627,111160125,Poultry,2009,490
628,111160125,Rabbits,1989,150
629,111160125,Rabbits,1999,94
630,111160125,Rabbits,2009,164
631,111160126,Cattle,1989,30
632,111160126,Cattle,1999,15
633,111160126,Cattle,2009,35
634,111160126,Pigs,1989,5
635,111160126,Pigs,1999,- -
636,111160126,Pigs,2009,3
637,111160126,Sheep,1989,45
