Catalog Number;Collectors;Collector Number;Start Date;Start Date Precision;Pais;Provincia;Distrito ou Municipio;Locality Name;Latitude1;Longitude1;Collection;Determiner;Kingdom;phylum;class;order;family;genus;Full Name;Species Author;subspecies Author;variety Author
LISC049533;F.A.Mendonça;3615;06/01/1948;1;Mozambique;Manica;Manica;Chimoio, Vandúzi, próximo do início da estrada Vandúzi-Tete.;-18,9511127;33,268611;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049534;A.R.Torre;3776;05/11/1941;1;Mozambique;Manica;Gondola;Chimoio, arredores da Missão de Amatongas;-19,1044436;33,813055;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049535;A.R.Torre;3776;05/11/1941;1;Mozambique;Manica;Gondola;Chimoio, arredores da Missão de Amatongas;-19,1044436;33,813055;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049536;A.R.Torre;6117;06/10/1943;1;Mozambique;Manica;Manica;Manica, Macequece.;-18,9333324;32,8833332;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049537;A.R.Torre;6117;06/10/1943;1;Mozambique;Manica;Manica;Manica, Macequece.;-18,9333324;32,8833332;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049538;A.R.Torre;5999;30/09/1943;1;Mozambique;Manica;;Gorongosa, estrada de Vila Paiva a Vila Pery;-18,89853;33,774036;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049539;A.R.Torre;5908;17/09/1943;1;Mozambique;Sofala;Muanza;Cheringoma, serração Cardoso Lopes, a 70 km da Beira;-19,3400011;34,8622227;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Brackenridgea;Brackenridgea zanguebarica;Oliv.;;
LISC049540;F.A.Mendonça;12;19/08/1942;1;Mozambique;Província de Maputo;Namaacha;Maputo, Porto Henrique.;-26,3000002;32,3488922;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna arborea;Burch. ex DC.;;
LISC049541;A.R.Torre;6172;12/10/1943;1;Mozambique;Manica;Mossurize;Mossurize, 40 km a norte de Espungabera.;-20,285802;32,974928;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna oconnorii;E.Phillips;;
LISC049542;F.A.Mendonça;2690;30/10/1944;1;Mozambique;Manica;Mossurize;Mossurize, Macuiana.;-20,316946;32,9001787;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna oconnorii;E.Phillips;;
LISC049543;F.A.Mendonça;2690;30/10/1944;1;Mozambique;Manica;Mossurize;Mossurize, Macuiana.;-20,316946;32,9001787;Herbário;J.G.Garcia;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna oconnorii;E.Phillips;;
LISC049544;F.A.Mendonça ;3688;24/01/1948;1;Mozambique;Manica;Gondola;Chimoio, Gondola, concessão Braunstein, próximo do rio Nhamouare.;-19,045723;33,848471;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049545;A.R.Torre;862;06/11/1936;1;Mozambique;Nampula;Cidade de Nampula;Nampula, Nampula;-15,1197219;39,2647209;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049546;A.R.Torre;5893;14/09/1948;1;Mozambique;Sofala;Dondo;Beira, Dondo.;-19,5215627;34,9104155;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049547;F.A.Mendonça;2010;07/09/1944;1;Mozambique;Sofala;Dondo;Beira, entre Dondo e o mar.;-19,734255;34,924843;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049548;A.R.Torre;3451;17/09/1941;1;Mozambique;Zambezia;Mopeia;Entre Quelimane e Marral.;-17,911882;36,525731;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049549;F.A.Mendonça;1195;01/11/1942;1;Mozambique;Nampula;Nampula;Nampula, estrada para Ribáuè, a 15 km de Nampula, rochedo de Navaca.;-15,056087;39,153067;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049550;A.R.Torre;4642;20/10/1942;1;Mozambique;Zambezia;Maganja da Costa;Maganja da Costa, arredores de Mocubela.;-16,8936119;37,8355541;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049551;A.R.Torre;s.n.;10/1942;2;Mozambique;Zambezia;Maganja da Costa;Maganja da Costa, arredores de Mocubela.;-16,8936119;37,8355541;Herbário;M.F.Pinto Basto;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna atropurpurea;DC.;;
LISC049552;F.A.Mendonça;2621;26/10/1944;1;Mozambique;Manica;Sussundenga;Manica, Mavita, Rotanda;-19,524563;33,014366;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna confusa;Burtt Davy & Greenway;;
LISC049553;F.A.Mendonça;2621;26/10/1944;1;Mozambique;Manica;Sussundenga;Manica, Mavita, Rotanda;-19,524563;33,014366;Herbário;J.G.Garcia;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna confusa;Burtt Davy & Greenway;;
LISC049554;A.R.Torre;5988;29/09/1943;1;Mozambique;Sofala;Gorongosa;Gorongoza, serra da Gorongoza, Gogogo.;-18,4288902;34,0383339;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna holstii;Engl.;;
LISC049555;A.R.Torre;5884;08/09/1943;1;Mozambique;Manica;Báruè;Báruè, Vila Gouveia, serra de Choa;-18,0161104;33,1202793;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna holstii;Engl.;;
